City,Restaurant Count,Average Rating,Average Votes,Average Price Range,% Table Booking,% Online Delivery
Sandton,11,4.3,491.8181818181818,3.8181818181818183,0.0,0.0
Johannesburg,6,4.2,617.6666666666666,4.0,16.666666666666664,0.0
Mandaluyong City,4,4.625,300.0,3.75,50.0,0.0
Taguig City,4,4.525,415.75,3.5,75.0,0.0
Pasay City,3,4.366666666666667,606.0,4.0,100.0,0.0
Pasig City,3,4.633333333333334,696.6666666666666,3.0,66.66666666666666,0.0
Bogor,2,3.85,971.0,2.5,0.0,0.0
Inner City,2,4.9,317.5,4.0,0.0,0.0
Secunderabad,2,4.5,951.0,2.0,100.0,50.0
Tangerang,2,4.300000000000001,1183.5,3.0,0.0,0.0
Santa Rosa,2,3.8,50.5,3.0,0.0,0.0
San Juan City,2,4.25,340.5,3.0,50.0,0.0
Hepburn Springs,2,3.8,142.5,1.5,0.0,0.0
Makati City,2,4.65,452.5,3.0,100.0,0.0
Balingup,1,3.2,21.0,2.0,0.0,0.0
Armidale,1,3.5,25.0,2.0,0.0,0.0
Cochrane,1,3.1,6.0,2.0,0.0,0.0
Beechworth,1,4.6,237.0,2.0,0.0,0.0
Huskisson,1,4.1,40.0,2.0,0.0,0.0
Inverloch,1,3.7,100.0,1.0,0.0,0.0
Forrest,1,3.7,29.0,2.0,0.0,0.0
Clatskanie,1,4.3,96.0,1.0,0.0,0.0
Chatham-Kent,1,3.7,176.0,2.0,0.0,0.0
Bandung,1,4.2,22.0,3.0,0.0,0.0
Consort,1,3.0,6.0,2.0,0.0,0.0
Dicky Beach,1,3.6,29.0,1.0,0.0,0.0
East Ballina,1,4.1,56.0,2.0,0.0,0.0
Fernley,1,3.7,83.0,1.0,0.0,0.0
Macedon,1,3.5,31.0,2.0,0.0,0.0
Lakeview,1,3.6,41.0,1.0,0.0,0.0
Lincoln,1,4.5,799.0,2.0,0.0,0.0
Lorn,1,3.6,18.0,2.0,0.0,0.0
Lakes Entrance,1,3.8,97.0,1.0,0.0,0.0
Flaxton,1,3.5,37.0,3.0,0.0,0.0
Penola,1,3.4,19.0,2.0,0.0,0.0
Mayfield,1,2.9,11.0,2.0,0.0,0.0
Montville,1,2.4,193.0,3.0,0.0,0.0
Monroe,1,3.6,65.0,2.0,0.0,0.0
Mohali,1,4.3,99.0,2.0,0.0,100.0
Miller,1,3.4,11.0,1.0,0.0,0.0
Mc Millan,1,2.4,17.0,1.0,0.0,0.0
Middleton Beach,1,3.8,176.0,3.0,0.0,0.0
Ojo Caliente,1,3.6,30.0,3.0,0.0,0.0
Palm Cove,1,4.4,381.0,3.0,0.0,0.0
Quezon City,1,4.8,294.0,3.0,0.0,0.0
